JourneyRef,Time,LineNumber,JourneyPointRef,StopPointId,ApcAlightingCount,AfcBoardingCount,AfcAlightingCount,UpstreamTimingPointAbbreviation,DownstreamTimingPointAbbreviation,LineDirectionCode,ApcBoardingCount
20200919L0001J0013,2020-09-19 00:44:15.0000000,1,20200919L0001J0013#001 ,30840,0,0,0,HVHS,HVHS,1,0
20200919L0001J0013,2020-09-19 00:44:42.0000000,1,20200919L0001J0013#002 ,409,0,0,0,HVHO,HVHO,1,0
20200919L0001J0013,2020-09-19 00:45:56.0000000,1,20200919L0001J0013#003 ,411,0,1,0,HVHO,ESTE,1,1
20200919L0001J0013,2020-09-19 00:47:10.0000000,1,20200919L0001J0013#004 ,2101,0,0,0,HVHO,ESTE,1,0
20200919L0001J0013,2020-09-19 00:48:11.0000000,1,20200919L0001J0013#005 ,7069,0,0,0,HVHO,ESTE,1,0
20200919L0001J0013,2020-09-19 00:49:29.0000000,1,20200919L0001J0013#006 ,7093,0,1,1,HVHO,ESTE,1,0
20200919L0001J0013,2020-09-19 00:50:04.0000000,1,20200919L0001J0013#007 ,7094,0,0,0,HVHO,ESTE,1,0
20200919L0001J0013,2020-09-19 00:50:40.0000000,1,20200919L0001J0013#008 ,7095,0,0,0,HVHO,ESTE,1,2
20200919L0001J0013,2020-09-19 00:51:12.0000000,1,20200919L0001J0013#009 ,7096,0,0,0,HVHO,ESTE,1,0
20200919L0001J0013,2020-09-19 00:52:07.0000000,1,20200919L0001J0013#010 ,7097,0,0,0,HVHO,ESTE,1,0
20200919L0001J0013,2020-09-19 00:52:56.0000000,1,20200919L0001J0013#011 ,5090,0,0,0,HVHO,ESTE,1,0
20200919L0001J0013,2020-09-19 00:53:33.0000000,1,20200919L0001J0013#012 ,5091,0,0,0,HVHO,ESTE,1,0
20200919L0001J0013,2020-09-19 00:53:57.0000000,1,20200919L0001J0013#013 ,1336,0,0,0,HVHO,ESTE,1,0
20200919L0001J0013,2020-09-19 00:54:26.0000000,1,20200919L0001J0013#014 ,1337,0,0,0,HVHO,ESTE,1,0
20200919L0001J0013,2020-09-19 00:57:01.0000000,1,20200919L0001J0013#015 ,1183,0,0,0,HVHO,ESTE,1,0
20200919L0001J0013,2020-09-19 00:57:57.0000000,1,20200919L0001J0013#016 ,7012,0,1,0,HVHO,ESTE,1,1
20200919L0001J0013,2020-09-19 01:00:01.0000000,1,20200919L0001J0013#017 ,7013,1,0,1,HVHO,ESTE,1,0
20200919L0001J0013,2020-09-19 01:02:09.0000000,1,20200919L0001J0013#018 ,45727,0,0,0,ESTE,ESTE,1,0
20200919L0001J0013,2020-09-19 01:02:48.0000000,1,20200919L0001J0013#019 ,1293,0,0,1,ESTE,ÅBV,1,1
20200919L0001J0013,2020-09-19 01:03:45.0000000,1,20200919L0001J0013#020 ,1547,0,0,0,ESTE,ÅBV,1,0
20200919L0001J0013,2020-09-19 01:04:25.0000000,1,20200919L0001J0013#021 ,1548,0,1,0,ESTE,ÅBV,1,0
20200919L0001J0013,2020-09-19 01:05:59.0000000,1,20200919L0001J0013#022 ,1549,1,0,0,ESTE,ÅBV,1,2
20200919L0001J0013,2020-09-19 01:06:45.0000000,1,20200919L0001J0013#023 ,1550,0,0,0,ESTE,ÅBV,1,2
20200919L0001J0013,2020-09-19 01:07:20.0000000,1,20200919L0001J0013#024 ,1551,0,0,0,ESTE,ÅBV,1,0
20200919L0001J0013,2020-09-19 01:08:13.0000000,1,20200919L0001J0013#025 ,1552,0,0,0,ESTE,ÅBV,1,2
20200919L0001J0013,2020-09-19 01:09:08.0000000,1,20200919L0001J0013#026 ,1553,0,0,0,ESTE,ÅBV,1,1
20200919L0001J0013,2020-09-19 01:10:15.0000000,1,20200919L0001J0013#027 ,1554,1,0,0,ÅBV,ÅBV,1,1
20200919L0001J0013,2020-09-19 01:10:54.0000000,1,20200919L0001J0013#028 ,1555,0,2,0,ÅBV,TRI,1,1
20200919L0001J0013,2020-09-19 01:11:47.0000000,1,20200919L0001J0013#029 ,1556,0,0,0,ÅBV,TRI,1,0
20200919L0001J0013,2020-09-19 01:13:13.0000000,1,20200919L0001J0013#030 ,45740,0,0,0,ÅBV,TRI,1,1
20200919L0001J0013,2020-09-19 01:14:33.0000000,1,20200919L0001J0013#031 ,1558,0,0,1,ÅBV,TRI,1,1
20200919L0001J0013,2020-09-19 01:16:09.0000000,1,20200919L0001J0013#032 ,1559,2,1,0,ÅBV,TRI,1,1
20200919L0001J0013,2020-09-19 01:16:37.0000000,1,20200919L0001J0013#033 ,1560,0,0,0,ÅBV,TRI,1,1
20200919L0001J0013,2020-09-19 01:17:16.0000000,1,20200919L0001J0013#034 ,1561,1,0,0,ÅBV,TRI,1,0
20200919L0001J0013,2020-09-19 01:19:05.0000000,1,20200919L0001J0013#035 ,53500,3,0,0,TRI,TRI,1,0
20200919L0001J0013,2020-09-19 01:21:02.0000000,1,20200919L0001J0013#036 ,1456,1,0,0,TRI,SVST1,1,0
20200919L0001J0013,2020-09-19 01:21:31.0000000,1,20200919L0001J0013#037 ,1457,1,0,0,TRI,SVST1,1,0
20200919L0001J0013,2020-09-19 01:22:14.0000000,1,20200919L0001J0013#038 ,1458,1,1,0,TRI,SVST1,1,2
20200919L0001J0013,2020-09-19 01:23:28.0000000,1,20200919L0001J0013#039 ,1459,0,1,1,TRI,SVST1,1,0
20200919L0001J0013,2020-09-19 01:25:45.0000000,1,20200919L0001J0013#040 ,1460,3,0,0,SVST1,SVST1,1,1
20200919L0001J0013,2020-09-19 01:26:18.0000000,1,20200919L0001J0013#041 ,1461,0,0,0,SVST1,HEST,1,0
20200919L0001J0013,2020-09-19 01:26:53.0000000,1,20200919L0001J0013#042 ,1462,0,0,0,SVST1,HEST,1,0
20200919L0001J0013,2020-09-19 01:27:19.0000000,1,20200919L0001J0013#043 ,1463,0,0,0,SVST1,HEST,1,0
20200919L0001J0013,2020-09-19 01:27:47.0000000,1,20200919L0001J0013#044 ,1464,1,0,0,SVST1,HEST,1,0
20200919L0001J0013,2020-09-19 01:28:28.0000000,1,20200919L0001J0013#045 ,2830,1,0,0,SVST1,HEST,1,0
20200919L0001J0013,2020-09-19 01:28:59.0000000,1,20200919L0001J0013#046 ,28450,0,0,0,SVST1,HEST,1,1
20200919L0001J0013,2020-09-19 01:30:00.0000000,1,20200919L0001J0013#047 ,1777,1,0,4,HEST,HEST,1,0
20200919L0001J0016,2020-09-19 17:38:09.0000000,1,20200919L0001J0016#001 ,1777,0,0,0,HEST,HEST,2,0
20200919L0001J0016,2020-09-19 17:40:32.0000000,1,20200919L0001J0016#002 ,1515,0,2,0,HEST,SVST1,2,2
20200919L0001J0016,2020-09-19 17:41:16.0000000,1,20200919L0001J0016#003 ,1516,0,2,0,HEST,SVST1,2,2
20200919L0001J0016,2020-09-19 17:42:37.0000000,1,20200919L0001J0016#004 ,1517,0,0,0,HEST,SVST1,2,0
20200919L0001J0016,2020-09-19 17:42:57.0000000,1,20200919L0001J0016#005 ,1518,0,0,0,HEST,SVST1,2,0
20200919L0001J0016,2020-09-19 17:44:03.0000000,1,20200919L0001J0016#006 ,1519,0,0,0,HEST,SVST1,2,0
20200919L0001J0016,2020-09-19 17:45:00.0000000,1,20200919L0001J0016#007 ,1520,0,1,0,SVST1,SVST1,2,1
20200919L0001J0016,2020-09-19 17:46:01.0000000,1,20200919L0001J0016#008 ,1521,0,2,0,SVST1,TRI,2,3
20200919L0001J0016,2020-09-19 17:47:26.0000000,1,20200919L0001J0016#009 ,1522,0,0,0,SVST1,TRI,2,0
20200919L0001J0016,2020-09-19 17:48:13.0000000,1,20200919L0001J0016#010 ,1523,1,0,1,SVST1,TRI,2,1
20200919L0001J0016,2020-09-19 17:49:03.0000000,1,20200919L0001J0016#011 ,1524,0,0,0,SVST1,TRI,2,0
20200919L0001J0016,2020-09-19 17:51:08.0000000,1,20200919L0001J0016#012 ,53499,3,0,4,TRI,TRI,2,1
20200919L0001J0016,2020-09-19 17:51:52.0000000,1,20200919L0001J0016#013 ,1572,1,0,0,TRI,ÅBV,2,0
20200919L0001J0016,2020-09-19 17:52:37.0000000,1,20200919L0001J0016#014 ,1573,0,2,0,TRI,ÅBV,2,2
20200919L0001J0016,2020-09-19 17:53:38.0000000,1,20200919L0001J0016#015 ,1574,1,2,0,TRI,ÅBV,2,5
20200919L0001J0016,2020-09-19 17:54:29.0000000,1,20200919L0001J0016#016 ,1575,0,0,0,TRI,ÅBV,2,0
20200919L0001J0016,2020-09-19 17:55:55.0000000,1,20200919L0001J0016#017 ,45739,4,0,4,TRI,ÅBV,2,0
20200919L0001J0016,2020-09-19 17:56:55.0000000,1,20200919L0001J0016#018 ,1577,0,0,0,TRI,ÅBV,2,0
20200919L0001J0016,2020-09-19 17:58:06.0000000,1,20200919L0001J0016#019 ,1578,1,0,1,TRI,ÅBV,2,0
20200919L0001J0016,2020-09-19 17:59:37.0000000,1,20200919L0001J0016#020 ,1579,0,1,0,ÅBV,ÅBV,2,1
20200919L0001J0016,2020-09-19 18:00:50.0000000,1,20200919L0001J0016#021 ,1580,0,2,0,ÅBV,ESTE,2,3
20200919L0001J0016,2020-09-19 18:02:00.0000000,1,20200919L0001J0016#022 ,1581,2,0,3,ÅBV,ESTE,2,0
20200919L0001J0016,2020-09-19 18:02:51.0000000,1,20200919L0001J0016#023 ,1582,2,0,0,ÅBV,ESTE,2,0
20200919L0001J0016,2020-09-19 18:03:25.0000000,1,20200919L0001J0016#024 ,1583,0,0,0,ÅBV,ESTE,2,0
20200919L0001J0016,2020-09-19 18:04:58.0000000,1,20200919L0001J0016#025 ,1584,1,1,1,ÅBV,ESTE,2,1
20200919L0001J0016,2020-09-19 18:06:16.0000000,1,20200919L0001J0016#026 ,1585,1,0,0,ÅBV,ESTE,2,0
20200919L0001J0016,2020-09-19 18:06:58.0000000,1,20200919L0001J0016#027 ,1586,0,1,0,ÅBV,ESTE,2,2
20200919L0001J0016,2020-09-19 18:08:00.0000000,1,20200919L0001J0016#028 ,1587,0,3,0,ÅBV,ESTE,2,4
20200919L0001J0016,2020-09-19 18:08:45.0000000,1,20200919L0001J0016#029 ,45728,0,0,0,ESTE,ESTE,2,0
20200919L0001J0016,2020-09-19 18:10:41.0000000,1,20200919L0001J0016#030 ,7057,1,0,0,ESTE,HVHS,2,0
20200919L0001J0016,2020-09-19 18:12:35.0000000,1,20200919L0001J0016#031 ,7058,0,0,0,ESTE,HVHS,2,0
20200919L0001J0016,2020-09-19 18:14:19.0000000,1,20200919L0001J0016#032 ,1328,2,0,1,ESTE,HVHS,2,2
20200919L0001J0016,2020-09-19 18:15:15.0000000,1,20200919L0001J0016#033 ,1332,0,0,1,ESTE,HVHS,2,0
